vocab_id,merge_key,kana,kanji,jlpt_level,jlpt_numeric,english_definitions_json,sources_json,genki_chapters_json,jmdict_seq_json,mapping_methods_json,matched_on_json
1,ああ||嗚呼,ああ,嗚呼,N1,1,"[""Ah!, Oh!, Alas!""]","[""jlpt_n1""]",[],[1565440],"[""jlpt_source""]",[]
2,あい||相,あい,相,N1,1,"[""together, mutually, fellow""]","[""jlpt_n1""]",[],[1400800],"[""jlpt_source""]",[]
3,あいかわらず||相変わらず,あいかわらず,相変わらず,N1,1,"[""as ever, as usual, the same""]","[""jlpt_n1""]",[],[1401310],"[""jlpt_source""]",[]
4,あいそ||愛想,あいそ,愛想,N1,1,"[""civility, courtesy, compliments, sociability, graces""]","[""jlpt_n1""]",[],[1575660],"[""jlpt_source""]",[]
5,あいぞう||愛憎,あいぞう,愛憎,N1,1,"[""likes and dislikes""]","[""jlpt_n1""]",[],[1575670],"[""jlpt_source""]",[]
6,あいたい||相対,あいたい,相対,N1,1,"[""confrontation, facing, between ourselves, no third party, tete-a-tete""]","[""jlpt_n1""]",[],[1401100],"[""jlpt_source""]",[]
7,あいだがら||間柄,あいだがら,間柄,N1,1,"[""relation(ship)""]","[""jlpt_n1""]",[],[1215660],"[""jlpt_source""]",[]
8,あいま||合間,あいま,合間,N1,1,"[""interval""]","[""jlpt_n1""]",[],[1284670],"[""jlpt_source""]",[]
9,あえて||敢えて,あえて,敢えて,N1,1,"[""dare (to do), challenge (to do)""]","[""jlpt_n1""]",[],[1212850],"[""jlpt_source""]",[]
10,あおぐ||仰ぐ,あおぐ,仰ぐ,N1,1,"[""to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take""]","[""jlpt_n1""]",[],[1238780],"[""jlpt_source""]",[]
11,あか||亜科,あか,亜科,N1,1,"[""suborder, subfamily""]","[""jlpt_n1""]",[],[1149680],"[""jlpt_source""]",[]
12,あか||垢,あか,垢,N1,1,"[""dirt, filth""]","[""jlpt_n1""]",[],[1277420],"[""jlpt_source""]",[]
13,あかがね||銅,あかがね,銅,N1,1,"[""copper""]","[""jlpt_n1""]",[],[1582390],"[""jlpt_source""]",[]
14,あかし||証,あかし,証,N1,1,"[""proof, evidence""]","[""jlpt_n1""]",[],[1351580],"[""jlpt_source""]",[]
15,あかじ||赤字,あかじ,赤字,N1,1,"[""deficit, go in the red""]","[""jlpt_n1""]",[],[1383440],"[""jlpt_source""]",[]
16,あかす||明かす,あかす,明かす,N1,1,"[""to pass, spend, to reveal, to divulge""]","[""jlpt_n1""]",[],[1532220],"[""jlpt_source""]",[]
